
BOLSIG+ version: 12/2017
Collision input data:
--------------------------------------------------
N2                                                              
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        400.0    
Excitation temperature (K)                 400.0    
Transition energy (eV)                     0.000    
Ionization degree                         0.1000E-03
Plasma density (1/m3)                     0.1000E+20
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                           1.000    
 
 
0.1000	0.000
0.4287	0.000
1.415	0.000
3.058	0.000
5.359	0.000
8.317	0.000
11.93	0.000
16.20	0.000
21.13	0.000
26.72	0.6659E-33
32.97	0.2486E-29
39.87	0.7380E-28
47.43	0.1186E-26
55.64	0.1153E-25
64.52	0.7644E-25
74.05	0.3741E-24
84.24	0.1408E-23
95.08	0.4281E-23
106.6	0.1084E-22
118.7	0.2372E-22
131.6	0.4584E-22
145.0	0.8051E-22
159.2	0.1309E-21
174.0	0.2001E-21
189.4	0.2908E-21
205.5	0.4052E-21
222.3	0.5459E-21
239.7	0.7148E-21
257.8	0.9127E-21
276.5	0.1141E-20
295.9	0.1400E-20
315.9	0.1690E-20
336.7	0.2012E-20
358.0	0.2365E-20
380.0	0.2748E-20
402.7	0.3161E-20
426.1	0.3603E-20
450.0	0.4073E-20
474.7	0.4568E-20
500.0	0.5089E-20
 
 
E/N (Td)	Power /N (eV m3/s)
0.1000	0.1055E-18
0.4287	0.1181E-17
1.415	0.9531E-17
3.058	0.3774E-16
5.359	0.1012E-15
8.317	0.2146E-15
11.93	0.3913E-15
16.20	0.6437E-15
21.13	0.9817E-15
26.72	0.1414E-14
32.97	0.1959E-14
39.87	0.2625E-14
47.43	0.3425E-14
55.64	0.4381E-14
64.52	0.5512E-14
74.05	0.6843E-14
84.24	0.8400E-14
95.08	0.1022E-13
106.6	0.1235E-13
118.7	0.1486E-13
131.6	0.1774E-13
145.0	0.2102E-13
159.2	0.2479E-13
174.0	0.2903E-13
189.4	0.3381E-13
205.5	0.3916E-13
222.3	0.4507E-13
239.7	0.5157E-13
257.8	0.5875E-13
276.5	0.6661E-13
295.9	0.7524E-13
315.9	0.8457E-13
336.7	0.9467E-13
358.0	0.1056E-12
380.0	0.1174E-12
402.7	0.1301E-12
426.1	0.1438E-12
450.0	0.1584E-12
474.7	0.1740E-12
500.0	0.1906E-12
 
 
E/N (Td)	Elastic power loss /N (eV m3/s)
0.1000	0.3556E-19
0.4287	0.1906E-18
1.415	0.4730E-18
3.058	0.7425E-18
5.359	0.1032E-17
8.317	0.1344E-17
11.93	0.1672E-17
16.20	0.2013E-17
21.13	0.2363E-17
26.72	0.2731E-17
32.97	0.3137E-17
39.87	0.3619E-17
47.43	0.4248E-17
55.64	0.5118E-17
64.52	0.6351E-17
74.05	0.8064E-17
84.24	0.1028E-16
95.08	0.1296E-16
106.6	0.1599E-16
118.7	0.1929E-16
131.6	0.2260E-16
145.0	0.2589E-16
159.2	0.2915E-16
174.0	0.3234E-16
189.4	0.3548E-16
205.5	0.3857E-16
222.3	0.4164E-16
239.7	0.4469E-16
257.8	0.4777E-16
276.5	0.5087E-16
295.9	0.5403E-16
315.9	0.5723E-16
336.7	0.6048E-16
358.0	0.6382E-16
380.0	0.6724E-16
402.7	0.7075E-16
426.1	0.7435E-16
450.0	0.7807E-16
474.7	0.8189E-16
500.0	0.8581E-16
 
 
E/N (Td)	Inelastic power loss /N (eV m3/s)
0.1000	0.6992E-19
0.4287	0.9906E-18
1.415	0.9057E-17
3.058	0.3699E-16
5.359	0.1001E-15
8.317	0.2132E-15
11.93	0.3890E-15
16.20	0.6408E-15
21.13	0.9782E-15
26.72	0.1409E-14
32.97	0.1952E-14
39.87	0.2617E-14
47.43	0.3420E-14
55.64	0.4371E-14
64.52	0.5500E-14
74.05	0.6828E-14
84.24	0.8383E-14
95.08	0.1019E-13
106.6	0.1232E-13
118.7	0.1483E-13
131.6	0.1770E-13
145.0	0.2095E-13
159.2	0.2467E-13
174.0	0.2885E-13
189.4	0.3352E-13
205.5	0.3869E-13
222.3	0.4438E-13
239.7	0.5061E-13
257.8	0.5740E-13
276.5	0.6476E-13
295.9	0.7273E-13
315.9	0.8126E-13
336.7	0.9038E-13
358.0	0.1001E-12
380.0	0.1105E-12
402.7	0.1215E-12
426.1	0.1331E-12
450.0	0.1454E-12
474.7	0.1582E-12
500.0	0.1718E-12
 
 
E/N (Td)	Growth power /N (eV m3/s)
0.1000	0.000
0.4287	0.000
1.415	0.000
3.058	0.000
5.359	0.000
8.317	0.000
11.93	0.000
16.20	0.000
21.13	0.000
26.72	0.3234E-28
32.97	0.1449E-24
39.87	0.5086E-23
47.43	0.9648E-22
55.64	0.1121E-20
64.52	0.9077E-20
74.05	0.5555E-19
84.24	0.2655E-18
95.08	0.1028E-17
106.6	0.3294E-17
118.7	0.9022E-17
131.6	0.2134E-16
145.0	0.4500E-16
159.2	0.8653E-16
174.0	0.1542E-15
189.4	0.2581E-15
205.5	0.4103E-15
222.3	0.6245E-15
239.7	0.9164E-15
257.8	0.1304E-14
276.5	0.1808E-14
295.9	0.2450E-14
315.9	0.3250E-14
336.7	0.4235E-14
358.0	0.5433E-14
380.0	0.6872E-14
402.7	0.8581E-14
426.1	0.1059E-13
450.0	0.1294E-13
474.7	0.1566E-13
500.0	0.1878E-13
 
 
E/N (Td)	Coulomb logarithm
0.1000	4.488
0.4287	5.566
1.415	6.285
3.058	6.666
5.359	6.950
8.317	7.178
11.93	7.365
16.20	7.520
21.13	7.649
26.72	7.759
32.97	7.858
39.87	7.956
47.43	8.067
55.64	8.205
64.52	8.382
74.05	8.599
84.24	8.843
95.08	9.094
106.6	9.334
118.7	9.556
131.6	9.747
145.0	9.912
159.2	10.06
174.0	10.18
189.4	10.29
205.5	10.39
222.3	10.48
239.7	10.57
257.8	10.64
276.5	10.71
295.9	10.78
315.9	10.85
336.7	10.91
358.0	10.97
380.0	11.02
402.7	11.08
426.1	11.13
450.0	11.19
474.7	11.24
500.0	11.29
 
 
E/N (Td)	Maximum energy
0.1000	1.710
0.4287	2.565
1.415	3.847
3.058	5.770
5.359	5.770
8.317	8.062
11.93	11.26
16.20	13.29
21.13	13.29
26.72	15.65
32.97	18.40
39.87	18.40
47.43	21.60
55.64	25.33
64.52	25.33
74.05	29.66
84.24	29.66
95.08	34.72
106.6	34.72
118.7	40.60
131.6	40.60
145.0	47.44
159.2	47.44
174.0	55.42
189.4	55.42
205.5	64.70
222.3	64.70
239.7	75.50
257.8	75.50
276.5	75.50
295.9	88.09
315.9	88.09
336.7	102.7
358.0	102.7
380.0	102.7
402.7	119.8
426.1	119.8
450.0	139.7
474.7	139.7
500.0	139.7
 
 
E/N (Td)	# of iterations
0.1000	39.00
0.4287	52.00
1.415	33.00
3.058	37.00
5.359	37.00
8.317	126.0
11.93	116.0
16.20	72.00
21.13	34.00
26.72	62.00
32.97	70.00
39.87	45.00
47.43	113.0
55.64	142.0
64.52	85.00
74.05	204.0
84.24	130.0
95.08	355.0
106.6	233.0
118.7	377.0
131.6	222.0
145.0	449.0
159.2	192.0
174.0	349.0
189.4	142.0
205.5	258.0
222.3	106.0
239.7	217.0
257.8	21.00
276.5	23.00
295.9	276.0
315.9	161.0
336.7	248.0
358.0	90.00
380.0	88.00
402.7	97.00
426.1	14.00
450.0	34.00
474.7	23.00
500.0	33.00
 
 
